date,broker,type,stock,industry,rating,target_price,note
2026-07-13,小摩,外資,南亞(1303),塑化/電子材料,優於大盤,200,前值未揭露(Factset中位數156→200)；電子材料成長最被看好 13日收199.5創天價；已做個股摘要；來源cnyes 6532284
2026-07-13,小摩,外資,台化(1326),塑化,優於大盤,60,Q3芳香烴利差強+上游供應正常化 營益復甦；13日收65已越過目標價；已做個股摘要；來源cnyes 6532284
2026-07-13,小摩,外資,台塑化(6505),塑化-煉油,優於大盤,65,中東局勢/俄煉廠停工支撐煉油利差 具上修空間；已做個股摘要；來源cnyes 6532284
2026-07-08,小摩,外資,愛普*(6531),半導體-利基記憶體/矽電容,未揭露,1350,前值1150；矽電容先行者+聯電中介層夥伴 2026-28EPS 15.36/26.64/45.07元；補收錄；已做個股摘要；來源ctee 20260708702273
2026-07-08,美系外資(未具名),外資,順達(3211),電子零組件-電源BBU,買進(初評),800,BBU滲透率2027估逾85% 2025-28營收/淨利CAGR 34%/60%；補收錄；已做個股摘要；來源ctee 20260708701198
2026-07-13,官股投顧(未具名),內資,力積電(6770),半導體-記憶體晶圓代工,買進,85,前值65；矽電容打入Intel EMIB 4月放量；P5廠轉讓美光並承接HBM PWF代工；2026年EPS估5.68元；已做個股摘要；來源wantrich 20260713900563
2026-07-14,官股投顧(未具名),內資,南亞科(2408),半導體-記憶體,強力買進,1000,前值650；Q2毛利率79.5% LTA占產能5成；按2027年EPS 140.92元×7倍PE；已做個股摘要；來源wantrich 20260714900001
2026-07-14,民營金控投顧(未具名),內資,南亞科(2408),半導體-記憶體,增持,521,維持共識目標價；Q2 ASP季增逾6成 單季EPS 14.55元；已做個股摘要；來源wantrich 20260714900003
2026-07-14,民營金控投顧(未具名),內資,華邦電(2344),半導體-記憶體,增持,123,已到價暫未調高；Q2營收598.43億元略低於預期；已做個股摘要；來源wantrich 20260714900003
2026-07-14,民營金控投顧(未具名),內資,旺宏(2337),半導體-記憶體,買進,182,6月營收優預期；低容量eMMC供給大減+大廠退出SLC NAND 市占擴大；已做個股摘要；來源wantrich 20260714900003
2026-07-14,民營金控投顧(未具名),內資,群聯(8299),半導體-記憶體模組/控制IC,增持,2735,6月營收248.53億元再創單月新高；eSSD與AI儲存動能；已做個股摘要；來源wantrich 20260714900003
2026-07-14,TechNews彙整(七家法人),外資,台積電(2330),半導體-晶圓代工,無(彙整),無,16日法說前目標價2888-3800；廣發2900首見(原始發布日待確認)；資本支出預估560-600億美元起跳；來源technews 20260714
2026-07-15,美銀,外資,萬潤(6187),半導體-設備,買進(初評),1500,初次覆蓋；CoWoS/CPO先進封裝三大動能 2026-28EPS 26.46/41.82/53.34元；已做個股摘要；來源ctee 20260715700224
2026-07-15,大摩,外資,台積電(2330),半導體-晶圓代工,加碼(法說前情境分析),無(未揭露),三情境推演8成上漲機率 樂觀強漲5% 基本情境全年財測上調至近年增40%；已做個股摘要；來源ctee 20260715700079
2026-07-15,小摩,外資,南亞(1303),塑化/電子材料,優於大盤,300,前值200；Q2 EPS 3.37元大勝共識 電材營益率2027估30%新高 2026/27 EPS 10.9/17.8元 台塑四寶首選；已做個股摘要；來源ctee 20260715701858
2026-07-15,統一投顧,內資,南亞(1303),塑化/電子材料,未揭露(看多),300,與小摩並列市場最高；ABF/CCL/玻纖布缺口再擴大 7月營收估優於6月；已做個股摘要；來源ctee 20260715701858
2026-07-16,小摩,外資,華邦電(2344),半導體-記憶體,加碼,360,前值未揭露；利基DRAM定價+NOR Flash AI放量 eSSD撐DDR4緊張2年 2026/27 EPS 28.49/60.03元；已做個股摘要；來源ctee 20260716700217
2026-07-16,麥格理,外資,聯電(2303),半導體-晶圓代工,優於大盤(初評),258,初次覆蓋；成熟製程上升循環四大利多 2026-28 EPS 4.9/7.4/11.7元；已做個股摘要；來源ctee 20260716700217
2026-07-15,Factset彙整,外資,聯電(2303),半導體-晶圓代工,,92.5,前值88；21位分析師中位數；來源cnyes 6535307
2026-07-15,Factset彙整,外資,晶碩(6491),隱形眼鏡,,410,前值390；5位分析師全數樂觀；來源cnyes 6535037
2026-07-16,Factset彙整,外資,力積電(6770),半導體-記憶體晶圓代工,,88.8,前值78；6位分析師中位數 上修13.85%；來源cnyes 6536313
2026-07-16,歐系外資(未具名),外資,南茂(8150),半導體-記憶體封測,未揭露(升評),156,前值105；記憶體動能延續至2027+SiPh/光凸塊2027起貢獻營收；已做個股摘要；來源ftnn 561631
2026-07-16,本土投顧(未具名),內資,南亞科(2408),半導體-記憶體,買進,548,LTA覆蓋5成產能+NCNR預付款鎖DDR4；對應2026 PE9.3倍/PB4.2倍；已做個股摘要；來源ftnn 561702
2026-07-16,高盛,外資,穎崴(6515),半導體-測試介面,買進,13000,前值15000下修；MEMS探針卡壓Q2毛利率 Q2低點Q3回升；已做個股摘要；來源ftnn 561698
2026-07-16,大型本國投顧(未具名),內資,勤誠(8210),伺服器機殼,無(預估上修),無,Q2營收78.2億優預期；Q3營收估季增20% 2027年營收成長率上修至37%；來源ftnn 561729
2026-07-16,美銀,外資,台積電(2330),半導體-晶圓代工,買進,3100,法說後依2027年盈餘上調 另給ADR目標價590美元 毛利率具韌性；已做個股摘要；來源cnyes 6537278
2026-07-16,Wedbush,外資,台積電(2330),半導體-晶圓代工,跑贏大盤,3000,前值2900；營收指引上調 未來數年競爭風險微乎其微；已做個股摘要；來源cnyes 6537278
2026-07-16,海納國際(SIG),外資,台積電(2330),半導體-晶圓代工,買進,ADR 600美元,前值575美元；僅揭露ADR目標價；已做個股摘要；來源cnyes 6537278
2026-07-16,Needham,外資,台積電(2330),半導體-晶圓代工,買進,ADR 480美元,維持不變 外資圈相對保守；已做個股摘要；來源cnyes 6537278
2026-07-16,野村,外資,台積電(2330),半導體-晶圓代工,未揭露,3425,法說前上修 原始發布日待確認；補收錄；已做個股摘要；來源chinatimes 20260716002179
2026-07-16,Factset彙整,外資,台積電(2330),半導體-晶圓代工,,3090,前值3000；法說後分析師共識中位數上修3%；來源cnyes 6537320
2026-07-16,麥格理,外資,台積電(2330),半導體-晶圓代工,優於大盤,4200,前值3380；法說後首家四字頭創法人圈天價 2026-28淨利上調12%/23%/24%；已做個股摘要；來源udn 9632874
2026-07-16,瑞穗,外資,台積電(2330),半導體-晶圓代工,未揭露,3150,前值3000；法說後同步上修 細節待確認；已做個股摘要；來源udn 9632874
2026-07-16,法巴,外資,台積電(2330),半導體-晶圓代工,未揭露,2890,前值2520；法說後同步上修 本波相對保守；已做個股摘要；來源udn 9632874
2026-07-17,美系外資(未具名),外資,台積電(2330),半導體-晶圓代工,無(觀點),無,Q3毛利率指引66%係2奈米稀釋屬短期 回檔為逢低布局良機 CSP資本支出為下一催化劑；來源ltn 5508197
2026-07-17,鉅亨彙整(外資圈),外資,台積電(2330),半導體-晶圓代工,無(彙整),無,法說後共識：AI需求擴散至CPU/ASIC/網通 N2產能26-28 CAGR逾70% 毛利率可守65-66% CoWoS仍瓶頸；來源cnyes 6538243
2026-07-18,瑞銀,外資,台積電(2330),半導體-晶圓代工,未揭露(看多),3650,前值3400；法說後上修；已做個股摘要；來源udn 9635207
2026-07-18,滙豐,外資,台積電(2330),半導體-晶圓代工,未揭露(看多),3400,前值2350；升幅44.7%本波最大之一；已做個股摘要；來源udn 9635207
2026-07-18,小摩,外資,台積電(2330),半導體-晶圓代工,未揭露(看多),3200,前值3100；已做個股摘要；來源udn 9635207
2026-07-18,高盛,外資,台積電(2330),半導體-晶圓代工,未揭露(看多),3100,前值3000；已做個股摘要；來源udn 9635207
2026-07-18,大和資本,外資,台積電(2330),半導體-晶圓代工,未揭露(看多),3000,前值2330；已做個股摘要；來源udn 9635207
2026-07-18,大摩,外資,台積電(2330),半導體-晶圓代工,加碼(拉回就買),2988,前值2888；毛利率利空屬2奈米稀釋短期因素；已做個股摘要；來源udn 9635207
2026-07-17,亞系外資(未具名),外資,台積電(2330),半導體-晶圓代工,中立(降評),2700,前值2808；法說後外資圈唯一降評 目標PE 24→22倍 認資本支出加速晚AI週期1.5-2年；補收錄；已做個股摘要；來源biggo 8d2bab45/yahoo 20260717
2026-07-15,小摩,外資,力積電(6770),半導體-記憶體晶圓代工,優於大盤,100,7月DRAM投片價二度漲45% Q4回升強於預期 動能至2028 3D AI業務為長期驅動；補收錄；已做個股摘要；來源wantrich 20260715900291
2026-07-19,本土投顧(老字號未具名),內資,凱基金(2883),金融-金控,買進,37,投顧報告17日出具；證券獲利占金控63% 上半年EPS1.64元；已做個股摘要；來源wantrich 20260719900001
2026-07-19,本土投顧(老字號未具名),內資,國泰金(2882),金融-金控,買進(調升),120,前值未揭露；2027年現金殖利率上看逾5% 淨值受惠股市大漲；已做個股摘要；來源wantrich 20260719900001
2026-07-15,大和資本,外資,南電(8046),半導體-載板,未揭露(產業首選),2444,前值1444；BT/ABF今年估漲70%/50% 毛利率2028年53.2%見頂；補收錄；已做個股摘要；來源wantrich 20260716900002
2026-07-16,麥格理,外資,欣興(3037),半導體-載板,優於大盤,1400,ABF供不應求恐延續至2029年；補收錄；已做個股摘要；來源wantrich 20260716900002
2026-07-16,麥格理,外資,景碩(3189),半導體-載板,優於大盤,945,ABF供不應求恐延續至2029年 2028年中前擴產有限；補收錄；已做個股摘要；來源wantrich 20260716900002
2026-07-17,凱基投顧,內資,光寶科(2301),電子-電源,增持,275,德州300億元建廠攻AI電源 市占約20% 2026-28EPS 8.87/13.08/18.31元；補收錄；已做個股摘要；來源wantrich 20260717900002
2026-07-17,統一投顧,內資,光寶科(2301),電子-電源,買進,240,800V HVDC拚Q4出貨 2027年營收估2589億年增27.5% EPS10.99元；補收錄；已做個股摘要；來源wantrich 20260717900002
2026-07-18,Factset彙整,外資,台積電ADR(TSM),半導體-晶圓代工,,ADR 513美元,前值476.5美元；18位分析師中位數上修7.66%；補收錄；來源cnyes 6539085
2026-07-19,蔡明翰(資深分析師/鈔錢部署),內資,南亞科(2408),半導體-記憶體,無(觀點評析),無,評析凱基投顧720元目標價：DDR4報價才是風向球 南亞科非HBM核心供應商 留意股價提前透支；無新評等目標價故未建個股摘要；來源wantrich 20260719900002
2026-07-19,旺得富彙整(法人低接方向),內資,記憶體錯殺4檔(旺宏2337/華邦電2344/力積電6770/群聯8299),半導體-記憶體,無(產業觀點),無,結構性缺貨至2027未變 17日跌停潮屬錯殺 利基防禦首選旺宏/華邦電 力積電/群聯為反彈急先鋒；來源wantrich 20260719900043
2026-07-20,老牌投顧(未具名),內資,力成(6239),半導體-封測,買進,400,維持買進；博通4億美元新加坡合資FOPLP 2027成長重心轉邏輯封裝/CPO 今明年EPS 12.16/18.16元；已做個股摘要；來源wantrich 20260720900002
2026-07-20,龍頭券商旗下投顧(未具名),內資,中砂(1650),半導體-耗材,買進,760,報告16日出具；台積capex 600-640億美元受惠4檔首選 訂單能見度至2028；已做個股摘要；來源wantrich 20260720900001
2026-07-20,龍頭券商旗下投顧(未具名),內資,帆宣(6196),半導體-廠務工程/設備代工,買進,650,報告16日出具；廠務自動化+設備代工 美AZ廠P2今年入帳高峰；已做個股摘要；來源wantrich 20260720900001
2026-07-20,龍頭券商旗下投顧(未具名),內資,崇越(5434),半導體-材料代理,買進,650,報告16日出具；N3/N2擴產耗材需求同步成長；已做個股摘要；來源wantrich 20260720900001
2026-07-20,龍頭券商旗下投顧(未具名),內資,京鼎(3413),半導體-設備代工,買進,380,報告16日出具；前段設備代工利基受惠capex年增46-56%；已做個股摘要；來源wantrich 20260720900001
2026-07-20,郭明錤(天風國際),外資,台積電CoPoS供應鏈(面板/載板廠),半導體-先進封裝,無(產業觀點),無,試產線1年後成熟不等於量產線成熟 現階段參與供應鏈不一定是最終供應商 2027H2以510×515mm做量產前模擬；無評等目標價故未建個股摘要；來源wantrich 20260720900013
2026-07-20,高盛,外資,台光電(2383),半導體-CCL,買進,9500,前值約6000(升58.3%)；CCL第二波漲價Q3季底10-15% Q3毛利率估36.5% EPS高於共識34%；已做個股摘要；來源udn 9639601
2026-07-20,高盛,外資,台燿(6274),半導體-CCL,買進,2860,前值約1890(升51.5%)；Q3毛利率估32.3% EPS高於共識21% Trainium3 CCL出貨Q3季增逾50%；已做個股摘要；來源udn 9639601
2026-07-20,小摩,外資,貿聯-KY(3665),電子零組件-連接線束/電源,優於大盤,3100,前值2100；電源+CPO+資本設備三動能 2025-28 EPS CAGR估50% 今明年EPS 67.73/122.01元；已做個股摘要；來源udn 9639537
2026-07-20,瑞銀,外資,緯穎(6669),AI伺服器-ODM,買進(ODM首選),7000,前值6400；2027營收成長預測54%上修至77% Helios機櫃2000→5000台 2026/27 EPS 360/500元；已做個股摘要；來源udn 9638975
2026-07-20,瑞銀,外資,緯創(3231),AI伺服器-ODM,未揭露(看多),225,前值未揭露；AI伺服器超預期+網通成長 上調下半年預估；已做個股摘要；來源udn 9639157
2026-07-20,法人(未具名),內資,鈊象(3293),遊戲-線上博弈,買進,無,Q2稅前淨利39.5億元優預期 Q3授權營收估年增35% 世足外溢；已做個股摘要；來源udn 9639537
2026-07-20,Factset彙整,外資,台化(1326),塑化,樂觀5中立3,67.45,前值64.95；8位分析師中位數上修3.85%；來源cnyes 6540214
2026-07-20,統一投信,內資,漲價四大族群(ABF/CCL/被動元件/AWS輝達谷歌鏈),電子-產業策略,無(產業觀點),無,Rubin設計調整致放量遞延Q4 拉回為逢低布局良機 GDP上修至9.33-9.45%；來源udn 9639109
2026-07-19,美銀,外資,記憶體族群(DRAM/NAND通路調查),半導體-記憶體,無(產業觀點),無,Q3 DRAM ASP估季增21%優於TrendForce DDR5現貨連8週漲 LTA占比跌破5成；補收錄；來源cnyes 6539441
2026-07-19,美銀,外資,長鑫存儲供應鏈(記憶體),半導體-記憶體,無(產業觀點),無,蘋果導入受地緣/規格/專利三大限制 戴爾惠普聯想鎖產能至2027底；補收錄；來源cnyes 6539442
2026-07-19,Factset彙整,外資,台積電(2330),半導體-晶圓代工,,3160,前值3090；2026 EPS中位數上修至107.74元；原始發布7/19；補收錄；來源cnyes 6539415
2026-07-19,Factset彙整,外資,玉山金(2884),金融-金控,,36,2026 EPS中位數2.42上修至2.49元；補收錄；來源cnyes 6539417
2026-07-19,大和資本,外資,台燿(6274),半導體-CCL,買進,2122,維持目標價；「台灣資料中心硬體」報告看多五檔之一 首選南電；補收錄；已做個股摘要；來源udn 9637759
2026-07-19,大和資本,外資,信驊(5274),半導體-IC設計(BMC),買進,20220,維持目標價；資料中心硬體報告看多五檔之一；補收錄；已做個股摘要；來源udn 9637759
2026-07-19,大和資本,外資,嘉澤(3533),電子零組件-連接器,買進,3533,維持目標價；資料中心硬體報告看多五檔之一；補收錄；已做個股摘要；來源udn 9637759
2026-07-19,大和資本,外資,台達電(2308),電源/電力電子,買進,2922,維持目標價；功率半導體加入短缺行列；補收錄；已做個股摘要；來源udn 9637759
2026-07-21,民營金控投顧(未具名),內資,台達電(2308),電源/電力電子,買進(維持),2500,前值3000；Q2毛利率35.8%低於預期 全年EPS下修至65.06元 Kyber延遲引HVDC疑慮；已做個股摘要；來源wantrich 20260721900002
2026-07-21,大和資本,外資,邁科(6831),散熱模組,買進(初評),1150,初次覆蓋；AI伺服器/ASIC散熱 美系CSP關鍵供應商 2027年可望添新大客戶 EPS衝15元待確認；已做個股摘要；來源yahoo 021500503
2026-07-21,大摩,外資,記憶體族群(美光等 關聯台股南亞科2408/華邦電2344/旺宏2337),半導體-記憶體,無(產業觀點),無,回檔為黃金坑 Q3 DRAM估漲逾25% 利空多來自PC/手機端 供不應求恐至2028；來源chinatimes 20260721002905
2026-07-22,富邦投顧,內資,南亞科(2408),半導體-記憶體,買進,548,維持；2027伺服器占比上看30% 約7成產能為低價格敏感出海口；與7/16本土投顧548觀點同源具名確認；已做個股摘要；來源wantrich 20260722900172
2026-07-22,中信投顧,內資,南亞科(2408),半導體-記憶體,增持,521,維持；WoW客製化DRAM頻寬提升5-10倍/能耗1/10 已微幅貢獻營收；與7/14民營金控投顧觀點同源；已做個股摘要；來源wantrich 20260722900172
2026-07-22,玉山投顧,內資,南亞科(2408),半導體-記憶體,買進,600,入列高通AI資料中心台系供應鏈；2027年毛利率估85.07% EPS 127.37元；已做個股摘要；來源wantrich 20260722900172
2026-07-22,國票投顧,內資,南亞科(2408),半導體-記憶體,強力買進,750,少數2027可擴產記憶體廠+客製化DRAM能見度高 改以本益比評價；已做個股摘要；來源wantrich 20260722900172
2026-07-22,市值王金控旗下投顧(未具名),內資,欣興(3037),半導體-載板,買進,1100,前值未揭露(上調)；Q2營收428.9億創近10季高 毛利率估上調至24% 2027EPS上修至31.52元；已做個股摘要；來源wantrich 20260722900262
2026-07-22,龍頭券商旗下投顧(未具名),內資,華通(2313),PCB,買進,256,報告7/21出具；光模組+低軌衛星雙動能 2027EPS估14.24元×18倍PE；已做個股摘要；來源wantrich 20260722900001
2026-07-22,大型投顧(未具名),內資,研華(2395),工業電腦,未揭露(看好),450,邊緣AI 2025-32產值CAGR 33.5% B/B ratio 2026Q1達1.77；已做個股摘要；來源wantrich 20260722900143
2026-07-22,大型投顧(未具名),內資,樺漢(6414),工業電腦,買進(最推之一),345,邊緣AI/機器人需求 Q2營收創高；22日股價490已逾目標價 數字待確認；已做個股摘要；來源wantrich 20260722900143
2026-07-22,大型投顧(未具名),內資,神基(3005),工業電腦,買進(最推之一),130,強固型電腦受惠邊緣AI與工業物聯網；已做個股摘要；來源wantrich 20260722900143
2026-07-22,本土民營金控旗下投顧(未具名),內資,台塑(1301),塑化,增加持股,70,前值60；Q2 EPS1.67元優預期由虧轉盈 利差擴大+轉投資挹注 1.2倍PB評價；已做個股摘要；來源wantrich 20260722900003
2026-07-22,摩根大通(小摩),外資,聯發科(2454),IC設計,看多,5300,前值未揭露；2026年營收估6830.62億元 EPS 70.05元；已做個股摘要；來源cmnews dc6ade24
2026-07-22,未具名法人,內資,南亞(1303),塑化/電子材料,買進,340,補收錄7/19新聞；報導稱市場天價 明年電子獲利占比估97% PE不到12倍；已做個股摘要；來源ftnn 562457
2026-07-22,凱基投顧等(彙整),內外資,ABF三雄(南電8046/欣興3037/景碩3189),半導體-載板,無(產業觀點),無,凱基估ABF缺口2027/28年22%/29% 南電交期逾12個月；留意原料短缺/玻璃基板替代/利多出盡三隱憂；來源wantrich 20260722900320
2026-07-22,瑞銀,外資,鴻海(2317),電子-EMS/AI伺服器,買進(維持),320,前值310；Q2營收季增19%優預期 2026/27EPS上修至18/22元 8/12法說展望可望優預期；已做個股摘要；來源udn 9644763
2026-07-22,本土投顧(未具名),內資,南亞科(2408),半導體-記憶體,未揭露(看好),720,前值520(升38%)；獲利爆發力 AI記憶體供需改善估延續至2028；已做個股摘要；來源businesstoday 202607220013
2026-07-22,大摩,外資,旺宏(2337),半導體-記憶體,大中華區半導體首選,無,AI帶動需求+NAND供不應求 具體目標價未揭露待確認；已做個股摘要；來源businesstoday 202607220013
2026-07-22,本土券商(未具名),內資,旺宏(2337),半導體-記憶體,未揭露(看好),220,AI需求及NAND供不應求；併入大摩旺宏摘要檔；來源businesstoday 202607220013
2026-07-22,本土大咖法人(未具名),內資,華邦電(2344),半導體-記憶體,強力買進(維持),285,DDR3現貨漲114% 高雄廠16奈米DDR4 26Q3起放量至27Q2月產1.6萬片 Q3 DRAM ASP估季增50%；已做個股摘要；來源ftnn 563384
2026-07-23,大摩,外資,國巨*(2327),被動元件-MLCC,優於大盤,1465,前值1515；悲觀685樂觀2075；Q3營收估476億毛利率40.3%；已做個股摘要；來源chinatimes 20260723003817/20260723003706
2026-07-23,凱基投顧,內資,國巨*(2327),被動元件-MLCC,買進(初次研究),1250,日廠2026-28缺口6%/9%/12%由國巨承接；MLCC價格2026-28估漲16-29%；已做個股摘要；來源chinatimes 20260723003706
2026-07-23,滙豐,外資,緯穎(6669),AI伺服器-ODM,看多,8400,亞馬遜H2-2027主動能；Trainium3 Q3放量+年底液冷機櫃出貨；已做個股摘要；來源ctee 20260723700232
2026-07-23,滙豐,外資,緯創(3231),AI伺服器-ODM,看多,待確認,具體目標價未揭露；報導稱二大外資共識站上2字頭；併入滙豐緯穎摘要檔；來源ctee 20260723700232
2026-07-23,美系外資(未具名),外資,台達電(2308),電源/電力電子,買進(維持),2280,前值2480；2026-28EPS下修至35.9/57.2/90.3元；800V導入慢但長期趨勢不變；已做個股摘要；來源chinatimes 20260723002415/20260723003297
2026-07-23,美系外資(未具名),外資,神達(3706),AI伺服器-ODM/機架,買進(維持),117,前值137；美台新廠Q2量產 Q2營收估季增29%；2026-28EPS 7.03/8.81/9.95元；已做個股摘要；來源chinatimes 20260723002040
2026-07-23,美系外資(未具名),外資,信驊(5274),半導體-IC設計(BMC),優於大盤(重申),20888,下調11%主因股票股利；前值約23470待確認；已做個股摘要；來源chinatimes 20260723001920
2026-07-23,富邦證券,內資,聯發科(2454),IC設計,看多,6000,2026營收估6456.63億元EPS 68.32元；已做個股摘要；來源cmoney nid1239609
2026-07-23,法人(未具名),內資,環球晶(6488),半導體-矽晶圓,未揭露(續看好),1600,維持；Novara 8吋線火災短期影響有限 8吋營收占比<3成 屬性待確認 關注美光合作；已做個股摘要；來源ftnn 563747
2026-07-24,法人(未具名),內資,臻鼎-KY(4958),半導體-載板/PCB,增加持股(維持),695,上調(前值未揭露)；VeraRubin供貨傳聞公司否認；2025-28資本支出43.5億美元全球之冠 2027EPS×26倍PE；已做個股摘要；來源ftnn 563745
2026-07-24,日系外資(未具名),外資,邁科(6831),散熱模組,買進(重申),1325,前值1150；美系CSP風冷份額>40% 2026/27毛利率估26%/28% 今年EPS小幅下修3%；與7/21大和1150是否同源待確認；已做個股摘要；來源ftnn 563708
2026-07-23,本土老牌投顧(未具名),內資,尖點(8021),PCB-鑽針耗材,買進(維持),600,2026-28EPS估9.9/20/34.6元 2027年×30倍PE 2028底產能較2026底翻倍；已做個股摘要；來源ftnn 563704
2026-07-23,法人(未具名),內資,長興(1717),化工-先進封裝材料,買進(初評),86,切入台積電CoWoS MUF/LMC 下半年單月營收升至1-1.5億 有望供Apple M8；2026/27EPS 2.28/3.09元；已做個股摘要；來源ftnn 563749
2026-07-23,法人(未具名),內資,緯創(3231),AI伺服器-ODM,買進(重申),240,北美廠GB300量產+AMD Helios出貨樂觀 EPS上看19.67元；原始報告日待確認疑為重申；已做個股摘要；來源yahoo 134500281
2026-07-23,大摩,外資,旺宏(2337),半導體-記憶體,NAND首選(優於大盤),220,澄清7/22收錄時待確認之目標價 原報告約7月上旬出具；不另建摘要；來源udn 9607246
2026-07-24,美系外資(未具名),外資,信邦(3023),電子零組件-連接線束,買進(維持),370,H1 EPS 7.36元獲利略低預期 下半年營收估年增24% 人形機器人2026貢獻約5億；已做個股摘要；來源ctee 20260724700886
2026-07-24,野村,外資,鴻勁(7769),半導體-測試介面(測試座),看多,11100,2026營收估574.06億 EPS 134.42元；已做個股摘要；來源cmoney nid1240263
